,time,ppg,ppg2,acc_x,acc_y,acc_z,hr_quality,reference_hr,estimated_hr,sampled_estimated_hr,hr_online
0,0.0,25837.0,-131806.0,772.0,-20.0,-596.0,0.0,87.34003199999998,,,92.0
1,0.04,46546.17649922013,-122252.90605784734,799.9301065448757,-27.980030441393048,-599.9900152206965,0.0,87.34233599999997,,,92.0
2,0.08,59762.08719509795,-117758.591585374,760.1390243903165,-12.055609756126636,-556.1529268293482,0.0,87.34444799999997,,,92.0
3,0.12,66443.01489359885,-113681.59671733635,795.7308206685951,-4.0598176292010715,-599.6710030393941,0.0,87.34636799999998,,,92.0
4,0.16,67854.27092845771,-110431.4705022949,803.9201217655722,-23.800304413930466,-596.0399391172139,0.0,87.34809599999997,,,92.0
5,0.2,68398.5214340174,-108958.87185355353,780.2453089245943,-16.081769641531412,-560.3679633868913,0.0,87.34963199999999,,,92.0
6,0.24,69979.31714284846,-108099.16471125087,807.6025531913372,-19.94322188447674,-607.3186626137209,0.0,87.35097599999997,,,92.0
7,0.28,71844.6810958785,-106866.74000000788,792.2673972603756,-20.0,-576.5347945207511,0.0,87.35212799999998,,,92.0
8,0.32,74592.79238962982,-105225.73248098612,792.0,-8.230502283192116,-587.7694977168079,0.0,87.35308799999997,,,92.0
9,0.36,79804.56368617172,-103107.66498097705,772.4191926886631,-15.832322924534783,-576.2515156131979,0.0,87.35385599999996,,,92.0
10,0.4,86197.21126325976,-101589.3707762694,783.7187214610783,-19.906240487026118,-579.9062404870261,0.0,87.35443199999997,,,92.0
11,0.44,101187.46851469946,-97941.3697487042,799.5968926121784,-8.302330540866226,-587.7984463060892,0.0,87.35481599999999,,,92.0
12,0.48,119248.09669942185,-91824.14600767201,784.4545703423794,-15.772714828810312,-568.5682129279742,0.0,87.35500799999998,,,92.0
13,0.52,139646.47165881435,-82595.9027702776,787.8762861491157,-27.628858447347056,-606.7628614911569,0.0,87.35500799999998,,,92.0
14,0.56,168047.2756637573,-66411.60946585772,803.5124274807122,-28.0,-580.8532519087537,0.0,87.35481599999999,,,92.0
15,0.6,202025.4496578485,-45849.37767681989,796.2806378133205,-20.280637813320464,-572.2806378133205,0.0,87.35443199999999,,,92.0
16,0.64,229952.330197466,-29512.70520571487,757.506240487643,-35.39750380494279,-575.8493759512357,0.0,87.35385600000001,,,92.0
17,0.68,264376.1930840029,-12733.53718228569,794.4231530839219,-39.84231530839219,-614.4231530839219,0.0,87.353088,,,92.0
18,0.72,314171.8868180483,3610.471354375055,796.0,-17.00529680404489,-573.8430441407489,0.0,87.35212799999998,,,92.0
19,0.76,362084.50074555626,15815.166488748806,788.3492460016612,-8.349246001661232,-572.0,0.0,87.35097599999999,,,92.0
20,0.8,393448.32380172453,24663.00410630558,784.187376425928,-27.063117870359818,-591.0631178703599,0.0,87.34963199999999,,,92.0
21,0.84,412233.98764044384,30833.73235909305,768.790015221005,-24.197503805251245,-572.9875190262562,0.0,87.34809599999998,,,92.0
22,0.88,425684.55902412604,36546.51664622751,798.386341462775,-27.79829268284687,-590.9914634142343,0.0,87.346368,,,92.0
23,0.92,436946.3225853179,41971.2408211796,792.4285323195585,-24.214266159779218,-584.4285323195585,0.0,87.34444799999999,,,92.0
24,0.96,434664.28398788994,42934.05430744264,803.3267579906063,-35.326757990606296,-587.7755859968688,0.0,87.342336,,,92.0
25,1.0,415497.695884604,37758.23475622322,781.3719512200573,-32.22865853667623,-561.6006097567335,0.0,87.34003200000001,,,92.0
26,1.04,389943.34699149354,29753.492887730838,802.5359270511065,-16.976048632595678,-601.3158662603619,0.0,87.337536,,,92.0
27,1.08,364990.885453772,21574.292612539048,770.2636405187804,-19.748484386802176,-581.509093679187,0.0,87.33484544,,,92.0
28,1.12,345158.6800004964,14773.215384786217,790.4492307686206,-27.48307692287355,-602.4492307686206,0.0,87.33195776000001,,,92.0
29,1.16,330379.6920155903,9502.600425991903,780.81326235773,-16.813262357729922,-592.81326235773,1.0,87.3288704,,,92.0
30,1.2,319948.9055600634,5207.083473078141,780.0,-19.721553693721972,-573.3922315313902,1.0,87.32558080000001,,,92.0
